Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
9,Focus,31749894,2060,10740446,1661,9/9/2009,Shane Acke," 
Elijah Wood",7,Animation,9
21,Sony,81159365,2952,24105943,2648,3/28/2008,Robert Luketic,Jim Sturgess,7,Drama,3
42,WB,95020213,3405,27487144,3003,4/12/2013,Brian Helgeland,Chadwick Boseman,5,Drama,4
300,WB,210614939,3280,70885301,3103,3/9/2007,Zack Snyder,Gerard Butler,7,Action,3
1408,MGM/W,71985628,2733,20617667,2678,6/22/2007,Mikael Håfström,John Cusack,7,Horror,6
2012,Sony,166112167,3444,65237614,3404,11/13/2009,Roland Emmerich,John Cusack,6,Action,11
(500) Days of Summer,FoxS,32391374,1048,834501,27,7/17/2009,Marc Webb," 
Joseph Gordon-Levitt",7,Comedy,7
10 Cloverfield Lane,Par.,72082998,3427,24727437,3391,3/11/2016,Dan Trachtenberg,John Goodman,7,Thriller,3
10 Things I Hate About You,BV,38178166,2311,8330681,2271,3/31/1999,Gil Junger,Heath Ledger,8,Comedy,3
102 Dalmatians,BV,66957026,2704,19883351,2704,11/22/2000,Kevin Lima,Glenn Close,5,Comedy,11
12 Strong,WB,45819713,3018,15815025,3002,1/19/2018,Nicolai Fuglsig,Chris Hemsworth,6,War,1
12 Years a Slave,FoxS,56671993,1474,923715,19,10/18/2013,Steve McQueen,Chiwetel Ejiofor,8,Drama,10
13 Going on 30,SonR,57231747,3453,21054283,3438,4/23/2004,Gary Winick,Jennifer Garner,7,Comedy,4
13 Hours: The Secret Soldiers of Benghazi,Par.,52853219,2917,16194738,2389,1/15/2016,Michael Bay,John Krasinski,7,Action,1
15 Minutes,NL,24403552,2337,10523154,2337,3/9/2001,John Herzfeld,Robert De Niro,6,Action,3
16 Blocks,WB,36895141,2706,11855260,2706,3/3/2006,Richard Donner,Bruce Willis,6,Action,3
17 Again,WB (NL),64167069,3255,23722310,3255,4/17/2009,Burr Steers, Zac Efron,6,Comedy,4
2 Fast 2 Furious,Uni.,127154901,3418,50472480,3408,6/6/2003,John Singleton,Paul Walker,6,Action,6
2 Guns,Uni.,75612460,3028,27059130,3025,8/2/2013,Baltasar Kormákur,Denzel Washington,7,Action,8
21 Jump Street,Sony,138447667,3148,36302612,3121,3/16/2012,Phil Lord,Jonah Hill,7,Action,3
22 Jump Street,Sony,191719337,3426,57071445,3306,6/13/2014,Phil Lord,Channing Tatum,7,Crime,6
27 Dresses,Fox,76808654,3074,23007725,3057,1/18/2008, Anne Fletcher, Katherine Heigl,6,Comedy,1
28 Days,Sony,37170488,2523,10310672,2523,4/14/2000,Betty Thomas,Sandra Bullock,6,Comedy,4
28 Days Later,FoxS,45064915,1407,10061858,1260,6/27/2003,Danny Boyle,Cillian Murphy,7,Horror,6
28 Weeks Later,FoxA,28638916,2305,9807292,2303,5/11/2007,Juan Carlos Fresnadillo," 
Robert Carlyle",7,Horror,5
3 Days to Kill,Rela.,30697999,2872,12242218,2872,2/21/2014,McG,Kevin Costner,6,Action,2
30 Days of Night,Sony,39568996,2859,15951902,2855,10/19/2007,David Slade,Josh Hartnett,6,Horror,10
30 Minutes or Less,Sony,37053924,2888,13330118,2888,8/12/2011,Ruben Fleischer,Jesse Eisenberg,6,Action,8
300: Rise of An Empire,WB,106580051,3490,45038460,3470,3/7/2014,Noam Murro,Sullivan Stapleton,6,Action,3
40 Days and 40 Nights,Mira.,37950822,2399,12229529,2225,3/1/2002,Michael Lehmann,Josh Hartnett,5,Comedy,3
47 Meters Down,ENTMP,44307191,2471,11205561,2270,6/16/2017,Johannes Roberts,Mandy Moore,6,Drama,6
47 Ronin,Uni.,38362475,2690,9910310,2689,12/25/2013,Carl Rinsch,Keanu Reeves,6,Drama,12
50 First Dates,Sony,120908074,3612,39852237,3591,2/13/2004,Peter Segal,Adam Sandler,7,Comedy,2
50/50,Sum.,35014192,2479,8644095,2458,9/30/2011,Jonathan Levine,Joseph Gordon-Levitt,7,Comedy,9
8 Mile,Uni.,116750901,2585,51240555,2470,11/8/2002,Curtis Hanson,Eminem,7,Drama,11
8MM,Sony,36663315,2370,14252888,2370,2/26/1999,Joel Schumacher,Nicolas Cage,6,Thriller,2
A Bad Moms Christmas,STX,72110659,3615,16759161,3615,11/1/2017,Jon Lucas,Mila Kunis,6,Comedy,11
A Beautiful Mind,Uni.,170742341,2250,367151,11,12/21/2001,Ron Howard,Russell Crowe,8,Drama,12
A Cinderella Story,WB,51438175,2625,13623350,2625,7/16/2004,Mark Rosman,Hilary Duff,6,Comedy,7
A Good Day to Die Hard,Fox,67349198,3555,24834845,3553,2/14/2013,John Moore,Bruce Willis,5,Action,2
A Haunted House,ORF,40041683,2160,18101682,2160,1/11/2013,Michael Tiddes,Marlon Wayans,6,Comedy,1
A History of Violence,NL,31504633,1348,515992,14,9/23/2005,David Cronenberg,Viggo Mortensen,7,Drama,9
A Man Apart,NL,26736098,2495,11019224,2459,4/4/2003,F. Gary Gray,Vin Diesel,6,Action,4
A Million Ways to Die in the West,Uni.,43139300,3160,16797385,3158,5/30/2014,Seth MacFarlane,Seth MacFarlane,6,Comedy,5
A Quiet Place,Par.,188024361,3808,50203562,3508,4/6/2018,John Krasinski,Emily Blunt,7,Drama,4
A Simple Favor,LGF,53548586,3102,16011689,3102,9/14/2018,Paul Feig,Anna Kendrick,7,Thriller,9
A Walk Among the Tombstones,Uni.,26307600,2714,12758780,2712,9/19/2014,Scott Frank,Liam Neeson,6,Crime,9
A Walk in the Woods,BG,29504281,2158,8246267,1960,9/2/2015,Ken Kwapis,Robert Redford,6,Adventure,9
A Walk to Remember,WB,41281092,2420,12177488,2411,1/25/2002,Adam Shankman,Mandy Moore,8,Drama,1
A Wrinkle in Time,BV,100478608,3980,33123609,3980,3/9/2018,Ava DuVernay,Storm Reid,6,Drama,3
A.I. Artificial Intelligence,WB,78616689,3242,29352630,3242,6/29/2001,Steven Spielberg,Haley Joel Osment,7,Drama,6
About a Boy,Uni.,41385278,1756,8557630,1207,5/17/2002,Chris Weitz,Hugh Grant,7,Drama,5
About Schmidt,NL,65016287,1240,282367,6,12/13/2002,Alexander Payne,Jack Nicholson,7,Drama,12
Abraham Lincoln: Vampire Hunter,Fox,37519139,3109,16306974,3108,6/22/2012,Timur Bekmambetov,Benjamin Walker,6,Action,6
Accepted,Uni.,36323505,2917,10023835,2914,8/18/2006,Steve Pink,Justin Long,6,Comedy,8
Across the Universe,SonR,24343673,964,667784,23,9/14/2007,Julie Taymor,Evan Rachel Wood,7,Drama,9
Act of Valor,Rela.,70012847,3053,24476632,3039,2/24/2012,Mike McCoy,Alex Veadov,6,Action,2
Adrift,STX,31445012,3015,11603039,3015,6/1/2018,Baltasar Kormákur,Shailene Woodley,5,Drama,6
After Earth,Sony,60522097,3401,27520040,3401,5/31/2013,M. Night Shyamalan,Jaden Smith,5,Science Fiction,5
After the Sunset,NL,28331233,2819,11100392,2819,11/12/2004,Brett Ratner,Pierce Brosnan,6,Action,11
Agent Cody Banks,MGM,47938330,3369,14064317,3369,3/14/2003,Harald Zwart,Frankie Muniz,5,Action,3
Agent Cody Banks 2: Destination London,MGM,23630159,2973,8014005,2973,3/12/2004,Kevin Allen,Frankie Muniz,5,Comedy,3
Alexander,WB,34297191,2445,13687087,2445,11/24/2004,Oliver Stone,Colin Farrell,6,War,11
Ali,Sony,58203105,2521,14710892,2446,12/25/2001,Michael Mann,Will Smith,7,Drama,12
Alice Through the Looking Glass,BV,77041381,3763,26858726,3763,5/27/2016,James Bobin,Mia Wasikowska,5,Family,5
Alien: Covenant,Fox,74262031,3772,36160621,3761,5/19/2017,Ridley Scott,Michael Fassbender,6,Horror,5
All About Steve,Fox,33862903,2265,11241214,2251,9/4/2009,Phil Traill,Sandra Bullock,5,Comedy,9
All About the Benjamins,NL,25916319,1519,10007291,1505,3/8/2002,Kevin Bray,Ice Cube,6,Action,3
All Eyez on Me,LG/S,44922302,2471,26435354,2471,6/16/2017,Benny Boom,Demetrius Shipp Jr.,6,Drama,6
All the Money in the World,TriS,25113707,2123,5584684,2074,12/25/2017,Ridley Scott,Michelle Williams,6,Thriller,12
Allied,Par.,40098064,3160,12701743,3160,11/23/2016,Robert Zemeckis,Brad Pitt,7,Action,11
Almost Christmas,Uni.,42158780,2379,15134235,2376,11/11/2016,David E. Talbert,Kimberly Elise,6,Comedy,11
Almost Famous,DW,32534850,2262,2314646,131,9/15/2000,Cameron Crowe,Billy Crudup,8,Drama,9
Aloha,Sony,21067116,2815,9670235,2815,5/29/2015,Cameron Crowe,Bradley Cooper,5,Drama,5
Along Came a Spider,Par.,74078174,2573,16712407,2530,4/6/2001,Lee Tamahori,Morgan Freeman,6,Crime,4
Along Came Polly,Uni.,88097164,3052,27721185,2984,1/16/2004,John Hamburg,Ben Stiller,6,Comedy,1
Alpha,Studio 8,35857181,2881,10352512,2719,8/17/2018,Albert Hughes,Kodi Smit-McPhee,7,Action,8
Alvin and the Chipmunks,Fox,217326974,3499,44307417,3475,12/14/2007,Tim Hill,Justin Long,6,Comedy,12
Alvin and the Chipmunks: Chipwrecked,Fox,133110742,3734,23244744,3723,12/16/2011,Mike Mitchell,Justin Long,6,Comedy,12
Alvin and the Chipmunks: The Road Chip,Fox,85886987,3705,14287159,3653,12/18/2015,Walt Becker,Jason Lee,6,Adventure,12
Alvin and the Chipmunks: The Squeakquel,Fox,219614612,3747,48875415,3700,12/23/2009,Betty Thomas,Justin Long,6,Comedy,12
American Assassin,LGF,36249674,3154,14846778,3154,9/15/2017,Michael Cuesta,Dylan OBrien,6,Action,9
American Beauty,DW,130096601,1990,861531,16,9/15/1999,Sam Mendes,Kevin Spacey,8,Drama,9
American Gangster,Uni.,130164645,3110,43565135,3054,11/2/2007,Ridley Scott,Denzel Washington,8,Drama,11
American Hustle,Sony,150117807,2629,740455,6,12/13/2013,David O. Russell,Christian Bale,7,Drama,12
American Made,Uni.,51342000,3098,16776390,3024,9/29/2017,Doug Liman,Tom Cruise,7,Thriller,9
American Pie,Uni.,102561004,2544,18709680,2508,7/9/1999,Paul Weitz,Jason Biggs,6,Comedy,7
American Pie 2,Uni.,145103595,3157,45117985,3063,8/10/2001,J.B. Rogers,Jason Biggs,6,Comedy,8
American Reunion,Uni.,57011521,3203,21514080,3192,4/6/2012,Jon Hurwitz,Jason Biggs,6,Comedy,4
American Sniper,WB,350126372,3885,633456,4,12/25/2014,Clint Eastwood,Bradley Cooper,7,War,12
American Wedding,Uni.,104565114,3175,33369440,3172,8/1/2003,Jesse Dylan,Jason Biggs,6,Comedy,8
An Ideal Husband,Mira.,18542974,772,192802,10,6/18/1999,Oliver Parker,Rupert Everett,6,Drama,6
Anacondas: The Hunt for the Blood Orchid,SGem,32238923,2905,12812287,2905,8/27/2004,Dwight H. Little,Morris Chestnut,5,Adventure,8
Analyze That,WB,32130627,2635,11034422,2635,12/6/2002,Harold Ramis,Robert De Niro,6,Comedy,12
Analyze This,WB,106885658,2537,18383507,2518,3/5/1999,Harold Ramis,Robert De Niro,6,Comedy,3
Anchorman 2: The Legend Continues,Par.,125168368,3507,26232425,3507,12/18/2013,Adam McKay,Will Ferrell,6,Comedy,12
Anchorman: The Legend of Ron Burgundy,DW,85288303,3104,28416365,3091,7/9/2004,Adam McKay,Will Ferrell,7,Comedy,7
Angel Eyes,WB,24174218,2407,9225575,2375,5/18/2001,Luis Mandoki,Jennifer Lopez,6,Drama,5
Angels & Demons,Sony,133375846,3527,46204168,3527,5/15/2009, Ron Howard," 
Tom Hanks",7,Thriller,5
Anger Management,SonR,135645823,3656,42220847,3551,4/11/2003,Peter Segal,Jack Nicholson,6,Comedy,4
Anna and the King,Fox,39263420,2132,5223416,2132,12/17/1999,Andy Tennant,Jodie Foster,7,Drama,12
Annabelle,WB (NL),84273813,3215,37134255,3185,10/3/2014,John R. Leonetti,Ward Horton,6,Horror,10
Annabelle: Creation,WB (NL),102092201,3565,35006404,3502,8/11/2017,David F. Sandberg,Anthony LaPaglia,7,Horror,8
Annihilation,Par.,32732301,2112,11071584,2012,2/23/2018,Alex Garland,Natalie Portman,6,Science Fiction,2
Ant-Man,BV,180202163,3868,57225526,3856,7/17/2015,Peyton Reed,Paul Rudd,7,Science Fiction,7
Ant-Man and the Wasp,BV,216648740,4206,75812205,4206,7/6/2018,Peyton Reed,Paul Rudd,7,Action,7
Any Given Sunday,WB,75530832,2505,13584625,2505,12/22/1999,Oliver Stone,Al Pacino,7,Drama,12
Anywhere But Here,Fox,18670401,1686,5607137,1672,11/12/1999,Wayne Wang,Susan Sarandon,6,Drama,11
Apocalypto,BV,50866635,2465,15005604,2465,12/8/2006,Mel Gibson,Gerardo Taracena,7,Action,12
Aquaman,WB,335061807,4184,67873522,4125,12/21/2018,James Wan,Jason Momoa,6,Action,12
Are We Done Yet?,SonR,49662533,2944,14262724,2877,4/4/2007, Steve Carr,Ice Cube,5,Comedy,4
Are We There Yet?,SonR,82674398,2810,18575214,2709,1/21/2005,Brian Levant,Ice Cube,5,Adventure,1
Argo,WB,136025503,3247,19458109,3232,10/12/2012,Ben Affleck,Ben Affleck,7,Action,10
Arlington Road,Sony,24756177,1631,7515145,1631,7/9/1999,Mark Pellington,Jeff Bridges,7,Crime,7
Around the World in 80 Days,BV,24008137,2801,7576132,2801,6/16/2004,Frank Coraci,Jackie Chan,6,Action,6
Arrival,Par.,100546139,3115,24074047,2317,11/11/2016,Denis Villeneuve,Amy Adams,7,Drama,11
Arthur Christmas,Sony,46462469,3376,12068931,3376,11/23/2011,Sarah Smith,James McAvoy,7,Drama,11
At First Sight,MGM,22365133,1838,8444321,1814,1/15/1999,Irwin Winkler,Val Kilmer,6,Drama,1
Atlantis: The Lost Empire,BV,84056472,3071,329011,2,6/8/2001,Gary Trousdale,Michael J. Fox,7,Animation,6
Atomic Blonde,Focus,51687870,3326,18286420,3304,7/28/2017,David Leitch,Charlize Theron,6,Action,7
Atonement,Focus,50927067,1400,784145,32,12/7/2007,Joe Wright,James McAvoy,8,Drama,12
August Rush,WB,31664162,2310,9421369,2310,11/21/2007,Kirsten Sheridan,Freddie Highmore,7,Family,11
August: Osage County,Wein.,37738810,2411,179302,5,12/27/2013,John Wells,Meryl Streep,7,Comedy,12
Austin Powers in Goldmember,NL,213307889,3613,73071188,3613,7/26/2002,Jay Roach,Mike Myers,6,Comedy,7
Austin Powers: The Spy Who Shagged Me,NL,206040086,3314,54917604,3312,6/11/1999,Jay Roach,Mike Myers,6,Adventure,6
Australia,Fox,49554002,2721,14800723,2642,11/26/2008, Baz Luhrmann," 
Nicole Kidman",7,Adventure,11
Autumn in New York,MGM,37761915,2282,10987006,2255,8/11/2000,Joan Chen,Richard Gere,6,Drama,8
Avatar,Fox,749766139,3461,77025481,3452,12/18/2009, James Cameron,Sam Worthington,7,Action,12
Avengers: Age of Ultron,BV,459005868,4276,191271109,4276,5/1/2015,Joss Whedon,Robert Downey Jr.,7,Action,5
Avengers: Infinity War,BV,678815482,4474,257698183,4474,4/27/2018,Anthony Russo,Robert Downey Jr.,8,Adventure,4
Babel,ParV,34302837,1251,389351,7,10/27/2006,Alejandro G. Iñárritu,Brad Pitt,7,Drama,10
Baby Boy,Sony,28734552,1533,8606403,1533,6/27/2001,John Singleton,AlexSandra Wright,7,Crime,6
Baby Driver,TriS,107825862,3226,20553320,3226,6/28/2017,Edgar Wright,Ansel Elgort,7,Action,6
Baby Geniuses,Sony,27250736,1702,5613587,1689,3/12/1999,Bob Clark,Kathleen Turner,4,Science Fiction,3
Baby Mama,Uni.,60494212,2627,17407110,2543,4/25/2008, Michael McCullers, Tina Fey,6,Comedy,4
Bad Boys II,Sony,138608444,3202,46522560,3186,7/18/2003,Michael Bay,Will Smith,6,Adventure,7
Bad Company,BV,30160161,2944,11007367,2944,6/7/2002,Joel Schumacher,Anthony Hopkins,5,Drama,6
Bad Moms,STX,113257297,3215,23817340,3215,7/29/2016,Jon Lucas,Mila Kunis,7,Comedy,7
Bad News Bears,Par.,32868349,3183,11382472,3183,7/22/2005,Richard Linklater,Billy Bob Thornton,6,Comedy,7
Bad Santa,Dim.,60060328,2540,12292952,2005,11/26/2003,Terry Zwigoff,Billy Bob Thornton,7,Drama,11
Bad Teacher,Sony,100292856,3049,31603106,3049,6/24/2011,Jake Kasdan,Cameron Diaz,6,Comedy,6
Balls of Fury,Rog.,32886940,3081,11352123,3052,8/29/2007, Ben Garant,Dan Fogler,5,Comedy,8
Bandits,MGM,41575141,3207,13050700,3207,10/12/2001,Barry Levinson,Bruce Willis,6,Action,10
Barbershop,MGM,75782105,2176,20627433,1605,9/13/2002,Tim Story,Ice Cube,6,Comedy,9
Barbershop: The Next Cut,WB (NL),54030051,2676,20242415,2661,4/15/2016,Malcolm D. Lee,Ice Cube,6,Comedy,4
Basic,Sony,26793311,2876,11511960,2876,3/28/2003,John McTiernan,John Travolta,6,Action,3
Batman Begins,WB,205343774,3858,48745440,3858,6/15/2005,Christopher Nolan,Christian Bale,8,Action,6
Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,3/25/2016,Zack Snyder,Ben Affleck,6,Action,3
Battle: Los Angeles,Sony,83552429,3417,35573187,3417,3/11/2011,Jonathan Liebesman,Aaron Eckhart,6,Action,3
Battlefield Earth,WB,21471685,3307,11548898,3307,5/12/2000,Roger Christian,John Travolta,3,Action,5
Battleship,Uni.,65422625,3702,25534825,3690,5/18/2012,Peter Berg,Alexander Skarsgård,6,Thriller,5
Baywatch,Par.,58060186,3647,18503871,3647,5/25/2017,Seth Gordon,Dwayne Johnson,6,Action,5
Be Cool,MGM,56046979,3216,23450212,3216,3/4/2005,F. Gary Gray,John Travolta,6,Comedy,3
Beauty Shop,MGM,36351350,2659,12801465,2659,3/30/2005,Bille Woodruff,Queen Latifah,6,Comedy,3
Because I Said So,Uni.,42674040,2529,13122865,2526,2/2/2007,Michael Lehmann," 
Diane Keaton",6,Comedy,2
Because of Winn-Dixie,Fox,32647042,3188,10208431,3188,2/18/2005,Wayne Wang,AnnaSophia Robb,6,Comedy,2
Bedtime Stories,BV,110101975,3684,27450296,3681,12/25/2008,Adam Shankman,Adam Sandler,6,Fantasy,12
Bee Movie,P/DW,126631277,3984,38021044,3928,11/2/2007,Simon J. Smith,Jerry Seinfeld,6,Family,11
Behind Enemy Lines,Fox,58856790,2844,18736133,2770,11/30/2001,John Moore,Gene Hackman,6,Action,11
Being John Malkovich,USA,22863596,630,637721,25,10/29/1999,Spike Jonze,John Cusack,7,Comedy,10
Bend It Like Beckham,FoxS,32543449,1002,161528,6,3/12/2003,Gurinder Chadha,Parminder Nagra,6,Comedy,3
Beowulf,Par.,82280579,3249,27515871,3153,11/16/2007,Robert Zemeckis,Ray Winstone,5,Action,11
Best in Show,WB,18715392,497,413436,13,9/29/2000,Christopher Guest,Fred Willard,7,Comedy,9
Beverly Hills Chihuahua,BV,94514402,3239,29300465,3215,10/3/2008, Raja Gosnell, Jamie Lee Curtis,5,Adventure,10
Bewitched,Sony,63313159,3188,20131130,3174,6/24/2005,Nora Ephron,Nicole Kidman,5,Comedy,6
Bicentennial Man,BV,58223861,2767,8234926,2518,12/17/1999,Chris Columbus,Robin Williams,7,Comedy,12
Big Daddy,Sony,163479795,3254,41536370,3027,6/25/1999,Dennis Dugan,Adam Sandler,6,Comedy,6
Big Fat Liar,Uni.,48360547,2534,11554015,2531,2/8/2002,Shawn Levy,Frankie Muniz,6,Comedy,2
Big Fish,Sony,66809693,2514,207377,6,12/10/2003,Tim Burton,Ewan McGregor,8,Adventure,12
Big Hero 6,BV,222527828,3773,56215889,3761,11/7/2014,Don Hall,Ryan Potter,8,Adventure,11
Billy Elliot,Focus,21995263,510,215681,10,10/13/2000,Stephen Daldry,Jamie Bell,8,Drama,10
Birdman,FoxS,42340598,1213,424397,4,10/17/2014,Alejandro G. Iñárritu,Michael Keaton,7,Drama,10
Black Hawk Down,SonR,108638745,3143,179823,4,12/28/2001,Ridley Scott,Josh Hartnett,7,Action,12
Black Knight,Fox,33426971,2571,11102948,2571,11/21/2001,Gil Junger,Martin Lawrence,5,Adventure,11
Black Mass,WB,62575678,3188,22635037,3188,9/18/2015,Scott Cooper,Johnny Depp,6,Drama,9
Black or White,Rela.,21571189,1823,6213362,1823,1/30/2015,Mike Binder,Kevin Costner,7,Drama,1
Black Panther,BV,700059566,4084,202003951,4020,2/16/2018,Ryan Coogler,Chadwick Boseman,7,Action,2
Black Swan,FoxS,106954678,2407,1443809,18,12/3/2010,Darren Aronofsky,Natalie Portman,8,Drama,12
BlacKkKlansman,Focus,49275340,1914,10845330,1512,8/10/2018,Spike Lee,John David Washington,8,Crime,8
Blade II,NL,82348319,2707,32528016,2707,3/22/2002,Guillermo del Toro,Wesley Snipes,6,Fantasy,3
Blade Runner 2049,WB,92054159,4058,32753122,4058,10/6/2017,Denis Villeneuve,Harrison Ford,7,Science Fiction,10
Blade: Trinity,NL,52411906,2912,16061271,2912,12/8/2004,David S. Goyer,Wesley Snipes,6,Science Fiction,12
Blades of Glory,P/DW,118594548,3467,33014202,3372,3/30/2007,Josh Gordon,Will Ferrell,6,Comedy,3
Blast from the Past,NL,26511114,2544,7771066,2542,2/12/1999,Hugh Wilson,Brendan Fraser,6,Comedy,2
Blended,WB,46294610,3555,14284031,3555,5/23/2014,Frank Coraci,Adam Sandler,7,Comedy,5
Bless the Child,Par.,29381494,2524,9413684,2524,8/11/2000,Chuck Russell,Kim Basinger,5,Drama,8
Blockers,Uni.,60311495,3418,20556350,3379,4/6/2018,Kay Cannon,Leslie Mann,6,Comedy,4
Blood Diamond,WB,57377916,1920,8648324,1910,12/8/2006,Edward Zwick,Leonardo DiCaprio,8,Drama,12
Blood Work,WB,26235081,2525,7312413,2525,8/9/2002,Clint Eastwood,Clint Eastwood,6,Crime,8
Blow,NL,52990775,2249,12443461,2249,4/6/2001,Ted Demme,Johnny Depp,7,Crime,4
Blue Crush,Uni.,40390647,3015,14169455,3002,8/16/2002,John Stockwell,Kate Bosworth,6,Adventure,8
Blue Jasmine,SPC,33405481,1283,612064,6,7/26/2013,Woody Allen,Cate Blanchett,7,Comedy,7
Blue Streak,Sony,68518533,2735,19208806,2735,9/17/1999,Les Mayfield,Martin Lawrence,6,Action,9
Body of Lies,WB,39394666,2714,12884416,2710,10/10/2008, Ridley Scott," 
Leonardo DiCaprio",7,Action,10
Bohemian Rhapsody,Fox,216203791,4000,51061119,4000,11/2/2018,Bryan Singer,Rami Malek,8,Drama,11
Bolt,BV,114053579,3654,26223128,3651,11/21/2008,Chris Williams, John Travolta,6,Animation,11
Boo! A Madea Halloween,LGF,73206343,2299,28501448,2260,10/21/2016,Tyler Perry,Tyler Perry,5,Comedy,10
Boogeyman,SGem,46752382,3052,19020655,3052,2/4/2005,Stephen Kay,Barry Watson,5,Thriller,2
Book Club,Par.,68566296,3169,13582231,2781,5/18/2018,Bill Holderman,Diane Keaton,4,Comedy,5
Book of Shadows: Blair Witch 2,Art.,26437094,3320,13223887,3317,10/27/2000,Joe Berlinger,Jeffrey Donovan,4,Mystery,10
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,128505958,2611,26455463,837,11/3/2006,Larry Charles,Sacha Baron Cohen,7,Comedy,11
Bounce,Mira.,36805288,2028,11423716,1918,11/17/2000,Don Roos,Ben Affleck,6,Drama,11
Bowfinger,Uni.,66384775,2746,18062550,2706,8/13/1999,Frank Oz,Steve Martin,6,Comedy,8
Boyhood,IFC,25352281,775,387618,5,7/11/2014,Richard Linklater,Ellar Coltrane,8,Drama,7
Boys and Girls,Dim.,21799652,1989,7008950,1983,6/16/2000,Robert Iscove,Freddie Prinze Jr.,6,Comedy,6
Brave,BV,237283207,4164,66323594,4164,6/22/2012,Mark Andrews,Kelly Macdonald,7,Animation,6
Breach,Uni.,33231264,1505,10504990,1489,2/16/2007,Billy Ray, Chris Cooper,7,Drama,2
Bride Wars,Fox,58715510,3228,21058173,3226,1/9/2009, Gary Winick, Kate Hudson,6,Comedy,1
Bridesmaids,Uni.,169106725,2958,26247410,2918,5/13/2011,Paul Feig,Kristen Wiig,7,Comedy,5
Bridge of Spies,BV,72313754,2873,15371203,2811,10/16/2015,Steven Spielberg,Tom Hanks,7,Thriller,10
Bridge to Terabithia,BV,82272442,3210,22564612,3139,2/16/2007,Gábor Csupó,Josh Hutcherson,7,Adventure,2
Bridget Jones: The Edge of Reason,Uni.,40226215,2473,8684055,530,11/12/2004,Beeban Kidron,Renée Zellweger,6,Comedy,11
Bring It On,Uni.,68379000,2466,17362105,2380,8/25/2000,Peyton Reed,Kirsten Dunst,6,Comedy,8
Bringing Down the House,BV,132716677,2910,31101026,2801,3/7/2003,Adam Shankman,Steve Martin,5,Documentary,3
Bringing Out the Dead,Par.,16797191,1967,6193052,1936,10/22/1999,Martin Scorsese,Nicolas Cage,7,Drama,10
Brokeback Mountain,Focus,83043761,2089,547425,5,12/9/2005,Ang Lee,Jake Gyllenhaal,8,Drama,12
Brooklyn,FoxS,38322743,962,187281,5,11/4/2015,John Crowley,Saoirse Ronan,7,Drama,11
Brother Bear,BV,85336277,3030,291940,2,10/24/2003,Aaron Blaise,Joaquin Phoenix,7,Adventure,10
Brothers,LGF,28544157,2088,9527848,2088,12/4/2009,Jim Sheridan,Tobey Maguire,8,TV Movie,12
Brown Sugar,FoxS,27363891,1378,10738882,1372,10/11/2002,Rick Famuyiwa,Taye Diggs,7,Comedy,10
Bruce Almighty,Uni.,242829261,3549,67953330,3483,5/23/2003,Tom Shadyac,Jim Carrey,7,Fantasy,5
Bruno,Uni.,60054530,2759,30619130,2756,7/10/2009,Larry Charles, Sacha Baron Cohen,8,Comedy,7
Bumblebee,Par.,127195589,3597,21654047,3550,12/21/2018,Travis Knight,Hailee Steinfeld,6,Action,12
Burlesque,SGem,39440655,3037,11947744,3037,11/24/2010,Steven Antin,Cher,7,Drama,11
Burn After Reading,Focus,60355347,2657,19128001,2651,9/12/2008, Joel Coen," 
George Clooney",7,Comedy,9
Calendar Girls,BV,31041759,967,151393,24,12/19/2003,Nigel Cole,Blanchard Ryan,7,Drama,12
Capote,SPC,28750530,1239,324857,12,9/30/2005,Bennett Miller,Philip Seymour Hoffman,7,Crime,9
Captain America: Civil War,BV,408084349,4226,179139142,4226,5/6/2016,Anthony Russo,Chris Evans,7,Adventure,5
Captain America: The First Avenger,Par.,176654505,3715,65058524,3715,7/22/2011,Joe Johnston,Chris Evans,7,Action,7
Captain America: The Winter Soldier,BV,259766572,3938,95023721,3938,4/4/2014,Anthony Russo,Chris Evans,8,Action,4
Captain Phillips,Sony,107100855,3143,25718314,3020,10/11/2013,Paul Greengrass,Tom Hanks,8,Action,10
Captain Underpants: The First Epic Movie,Fox,73921000,3529,23851539,3434,6/2/2017,David Soren,Kevin Hart,6,Action,6
Cars,BV,244082982,3988,60119509,3985,6/9/2006,John Lasseter,Owen Wilson,7,Animation,6
Cars 2,BV,191452396,4115,66135507,4115,6/24/2011,John Lasseter,Owen Wilson,6,Animation,6
Cars 3,BV,152901115,4256,53688680,4256,6/16/2017,Brian Fee,Owen Wilson,7,Horror,6
Casino Royale,Sony,167445960,3443,40833156,3434,11/17/2006,Martin Campbell,Daniel Craig,7,Adventure,11
Cast Away,Fox,233632142,3061,28883406,2774,12/22/2000,Robert Zemeckis,Tom Hanks,8,Adventure,12
Catch Me If You Can,DW,164615351,3225,30053627,3156,12/25/2002,Steven Spielberg,Leonardo DiCaprio,8,Drama,12
Cats & Dogs,WB,93385515,3040,21707617,3040,7/4/2001,Lawrence Guterman,Alec Baldwin,5,Comedy,7
