Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
The Others,Mira.,96522687,2843,14089952,1678,8/10/2001,Alejandro Amenábar,Nicole Kidman,8,Horror,8
The Out-of-Towners,Par.,28544120,2128,8224215,2102,4/2/1999,Sam Weisman,Steve Martin,5,Comedy,4
The Pacifier,BV,113086868,3181,30552694,3131,3/4/2005,Adam Shankman,Vin Diesel,6,Action,3
The Passion of the Christ,NM,370274604,3408,83848082,3043,2/25/2004,Mel Gibson,Jim Caviezel,7,Drama,2
The Patriot,Sony,113330342,3061,22413710,3061,6/28/2000,Roland Emmerich,Mel Gibson,5,Comedy,6
The Peanuts Movie,Fox,130178411,3902,44213073,3897,11/6/2015,Steve Martino,Noah Schnapp,7,Adventure,11
The Perfect Guy,SGem,57027435,2230,25888154,2221,9/11/2015,David M. Rosenthal,Sanaa Lathan,6,Drama,9
The Perfect Storm,WB,182618434,3407,41325042,3407,6/30/2000,Wolfgang Petersen,George Clooney,6,Drama,6
The Phantom of the Opera,WB,51268815,1515,4001890,622,12/22/2004,Joel Schumacher,Gerard Butler,5,Drama,12
The Pianist,Focus,32572577,842,111261,6,12/25/2002,Roman Polanski,Adrien Brody,9,Drama,12
The Pink Panther 2,Sony,35922978,3245,11588150,3243,2/6/2009, Harald Zwart," 
Steve Martin",6,Comedy,2
The Polar Express,WB,162775358,3650,23323463,3650,11/10/2004,Robert Zemeckis,Tom Hanks,7,Adventure,11
The Possession,LGF,49130154,2860,17732480,2816,8/31/2012,Ole Bornedal,Natasha Calis,6,Horror,8
The Post,Fox,81903458,2851,526011,9,12/22/2017,Steven Spielberg,Meryl Streep,7,Drama,12
The Prestige,BV,53089891,2305,14801808,2281,10/20/2006,Christopher Nolan,Christian Bale,8,Drama,10
The Princess and the Frog,BV,104400899,3475,786190,2,11/25/2009,Ron Clements," 
Anika Noni Rose",7,Romance,11
The Princess Diaries,BV,108248956,2749,22862269,2537,8/3/2001,Garry Marshall,Julie Andrews,7,Comedy,8
The Princess Diaries 2: Royal Engagement,BV,95170481,3490,22956453,3472,8/11/2004,Garry Marshall,Anne Hathaway,6,Comedy,8
The Proposal,BV,163958031,3158,33627598,3056,6/19/2009,Anne Fletcher,Sandra Bullock,5,Drama,6
The Punisher,Lions,33810189,2649,13834527,2649,4/16/2004,Jonathan Hensleigh,Thomas Jane,6,Action,4
The Purge,Uni.,64473115,2591,34058360,2536,6/7/2013,James DeMonaco,Ethan Hawke,6,Science Fiction,6
The Purge: Anarchy,Uni.,71962800,2856,29816675,2805,7/18/2014,James DeMonaco,Frank Grillo,7,Horror,7
The Purge: Election Year,Uni.,79213375,2821,31515110,2796,7/1/2016,James DeMonaco,Frank Grillo,6,Action,7
The Pursuit of Happyness,Sony,163566459,3169,26541709,2852,12/15/2006,Gabriele Muccino,Will Smith,8,Drama,12
The Queen,Mira.,56441711,1850,122014,3,9/30/2006,Stephen Frears,Helen Mirren,7,Drama,9
The Rage: Carrie 2,MGM,17762705,2286,7065123,2286,3/12/1999,Katt Shea,Emily Bergl,5,Horror,3
The Reader,Wein.,34194407,1203,168051,8,12/10/2008, Stephen Daldry," 
Kate Winslet",7,Drama,12
The Reaping,WB,25126214,2603,10025203,2603,4/5/2007,Stephen Hopkins, Hilary Swank,6,Horror,4
The Recruit,BV,52802140,2376,16302063,2376,1/31/2003,Roger Donaldson,Al Pacino,6,Action,1
The Replacements,WB,44737059,2754,11039214,2754,8/11/2000,Howard Deutch,Keanu Reeves,6,Comedy,8
The Revenant,Fox,183637894,3711,474560,4,12/25/2015,Alejandro G. Iñárritu,Leonardo DiCaprio,6,Comedy,12
The Ring,DW,129128133,2927,15015393,1981,10/18/2002,Gore Verbinski,Naomi Watts,7,Horror,10
The Ring Two,DW,76231249,3341,35065237,3332,3/18/2005,Hideo Nakata,Naomi Watts,6,Drama,3
The Ringer,FoxS,35428675,1853,5158795,1829,12/23/2005,Barry W. Blaustein,Johnny Knoxville,6,Comedy,12
The Rite,WB (NL),33047633,2985,14789393,2985,1/28/2011,Mikael Håfström,Colin ODonoghue,8,Drama,1
The Road to El Dorado,DW,50863742,3223,12846652,3218,3/31/2000,Bibo Bergeron,Kevin Kline,7,Adventure,3
The Rookie,BV,75600072,2543,16021684,2511,3/29/2002,John Lee Hancock,Dennis Quaid,7,Drama,3
The Roommate,SGem,37300107,2534,15002635,2534,2/4/2011,Christian E. Christiansen,Minka Kelly,6,Thriller,2
The Royal Tenenbaums,BV,52364010,999,276981,5,12/14/2001,Wes Anderson,Gene Hackman,8,Comedy,12
The Rundown,Uni.,47726342,3154,18553765,3152,9/26/2003,Peter Berg,Dwayne Johnson,6,Adventure,9
The Santa Clause 2,BV,139236327,3352,29008696,3350,11/1/2002,Michael Lembeck,Tim Allen,6,Fantasy,11
