"'Wallace and Gromit: The Curse of the Were-Rabbit' ,"
"'Be Cool' ,"
"'Crash' ,"
"'Yours, Mine and Ours' ,"
"'Tim Burtons Corpse Bride' ,"
"'Kicking and Screaming' ,"
"'Hoodwinked' ,"
"'Hide and Seek' ,"
"'The Hitchhikers Guide to the Galaxy' ,"
"'Syriana' ,"
"'Tyler Perrys Diary of a Mad Black Woman' ,"
"'Racing Stripes' ,"
"'Miss Congeniality 2: Armed and Fabulous' ,"
"'Just Like Heaven' ,"
"'The Skeleton Key' ,"
"'Munich' ,"
"'Kingdom of Heaven' ,"
"'Boogeyman' ,"
"'The Legend of Zorro' ,"
"'Must Love Dogs' ,"
"'Transporter 2' ,"
"'Rumor Has It' ,"
"'Fever Pitch' ,"
"'The Adventures of Sharkboy and Lavagirl in 3D' ,"
"'The Sisterhood of the Traveling Pants' ,"
"'Pride and Prejudice' ,"
"'The Brothers Grimm' ,"
"'Beauty Shop' ,"
"'Derailed' ,"
"'The Island' ,"
"'The Ringer' ,"
"'Hostage' ,"
"'Magnificent Desolation (IMAX)' ,"
"'The Constant Gardener' ,"
"'In Her Shoes' ,"
"'Bad News Bears' ,"
"'Dreamer: Inspired by a True Story' ,"
"'Because of Winn-Dixie' ,"
"'Just Friends' ,"
"'Stealth' ,"
"'House of Wax' ,"
"'The Wedding Date' ,"
"'Good Night, and Good Luck.' ,"
"'A History of Violence' ,"
"'Get Rich or Die Tryin' ,"
"'The Fog ' ,"
"'Zathura' ,"
"'Rent' ,"
"'Capote' ,"
"'Doom' ,"
"'XXX: State of the Union' ,"
"'Elizabethtown' ,"
"'Aeon Flux' ,"
"'Serenity' ,"
"'Pirates of the Caribbean: Dead Mans Chest' ,"
"'Night at the Museum' ,"
"'Cars' ,"
"'X-Men: The Last Stand' ,"
"'The Da Vinci Code' ,"
"'Superman Returns' ,"
"'Happy Feet' ,"
"'Ice Age: The Meltdown' ,"
"'Casino Royale' ,"
"'The Pursuit of Happyness' ,"
"'Over the Hedge' ,"
"'Talladega Nights: The Ballad of Ricky Bobby' ,"
"'Click' ,"
"'Mission: Impossible III' ,"
"'The Departed' ,"
"'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan' ,"
"'The Devil Wears Prada' ,"
"'The Break-Up' ,"
"'Dreamgirls' ,"
"'Scary Movie 4' ,"
"'Failure to Launch' ,"
"'Inside Man' ,"
"'Open Season' ,"
"'The Santa Clause 3: The Escape Clause' ,"
"'Charlottes Web ' ,"
"'The Pink Panther ' ,"
"'Eight Below' ,"
"'Saw III' ,"
"'Nacho Libre' ,"
"'You, Me and Dupree' ,"
"'Eragon' ,"
"'Monster House' ,"
"'Jackass: Number Two' ,"
"'Barnyard: The Original Party Animals' ,"
"'RV' ,"
"'V for Vendetta' ,"
"'World Trade Center' ,"
"'Rocky Balboa' ,"
"'Big Mommas House 2' ,"
"'Step Up' ,"
"'Flushed Away' ,"
"'Deja Vu' ,"
"'Miami Vice' ,"
"'Tyler Perrys Madeas Family Reunion' ,"
"'The Holiday' ,"
"'The Fast and the Furious: Tokyo Drift' ,"
"'Underworld: Evolution' ,"
"'The Shaggy Dog' ,"
"'Poseidon' ,"
"'The Good Shepherd' ,"
"'Little Miss Sunshine' ,"
"'The Benchwarmers' ,"
"'Little Man' ,"
"'Curious George' ,"
"'Invincible' ,"
"'Blood Diamond' ,"
"'The Queen' ,"
"'The Guardian' ,"
"'The Omen ' ,"
